6011.000001: PUR-1759566405
6011.001081: PUR-1759566874
6011.001082: PUR-1759567325
6011.01083: PUR-1759587222
6011.01084: PUR-1759589649
6011.01085: PUR-1760171322
6011.02085: PUR-1761945124
6011.02086: PUR-1762352422
6011.02087: PUR-1762353467
6011.02088: PUR-1762442068
6011.02089: PUR-1762442429
6011.02090: PUR-1762463082
6011.02091: PUR-1762463397
6011.02092: PUR-1762464169
6011.02093: PUR-1762464204
6011.02094: PUR-1762465183
6011.02095: PUR-1762465821
6011.02096: PUR-1762465869
6011.02097: PUR-1762466114
6011.02098: PUR-1762545658
6011.02099: PUR-1762545667
6011.02100: PUR-1762546589
6011.02101: PUR-1762554287
6011.02102: PUR-1763196835
6011.02103: PUR-1763197008
6011.02104: PUR-1774647701
6011.02105: PUR-1774647710
6011.02106: PUR-1774648104
6011.02107: 1234
6011.02109: 123
6011.02110: PUR-1774648419
6011.02111: PUR-1774648430
6011.02112: 8989
6011.02113: PUR-1774649042
6011.02114: PUR-1774649054
6011.02115: 987456
6011.02116: PUR-1774675699
6011.02117: 9999
6011.02118: PUR-1774693405
6011.02119: PUR-1774777351
6011.02120: PUR-1774777722
6011.02121: PUR-1774782206
6011.02122: PUR-1774906126
6011.02123: PUR-1775416032
6011.03123: PUR-1775592941
6011.04123: PUR-1775940141
6011.04124: PUR-1776060718
