2026-05-23 00:28:48,130 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 00:28:48,965 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8426}
2026-05-23 00:47:44,119 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 00:47:44,173 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8427}
2026-05-23 08:57:57,343 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 08:57:57,770 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8428}
2026-05-23 09:12:08,962 - AUDIT - SECURITY: event=LOGIN_FAILED, details={'username': 'mazen', 'reason': 'invalid_credentials'}
2026-05-23 09:12:19,109 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 09:12:19,342 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8429}
2026-05-23 09:39:41,703 - AUDIT - USER_ACTION: user_id=1017, action=LOGOUT, details={'session_id': 8429, 'duration_minutes': 27}
2026-05-23 09:39:41,704 - AUDIT - USER_ACTION: user_id=1017, action=LOGOUT_SUCCESS, details={'session_id': 8429}
2026-05-23 09:43:00,954 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 09:43:01,252 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8430}
2026-05-23 11:11:38,304 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 11:11:38,489 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8431}
2026-05-23 11:12:41,623 - AUDIT - USER_ACTION: user_id=1017, action=LOGOUT, details={'session_id': 8431, 'duration_minutes': 1}
2026-05-23 11:12:41,624 - AUDIT - USER_ACTION: user_id=1017, action=LOGOUT_SUCCESS, details={'session_id': 8431}
2027-05-23 11:13:51,928 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2027-05-23 11:13:52,298 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8432}
2027-05-23 11:56:59,184 - AUDIT - USER_ACTION: user_id=1017, action=LOGOUT, details={'session_id': 8432, 'duration_minutes': 43}
2027-05-23 11:56:59,187 - AUDIT - USER_ACTION: user_id=1017, action=LOGOUT_SUCCESS, details={'session_id': 8432}
2027-05-23 11:57:17,836 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2027-05-23 11:57:19,503 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8433}
2027-05-23 12:00:46,224 - AUDIT - USER_ACTION: user_id=1017, action=LOGOUT, details={'session_id': 8433, 'duration_minutes': 3}
2027-05-23 12:00:46,224 - AUDIT - USER_ACTION: user_id=1017, action=LOGOUT_SUCCESS, details={'session_id': 8433}
2027-05-23 12:39:28,107 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2027-05-23 12:39:28,197 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8433}
2027-05-23 12:39:42,460 - AUDIT - USER_ACTION: user_id=1017, action=LOGOUT, details={'session_id': 8433, 'duration_minutes': 0}
2027-05-23 12:39:42,462 - AUDIT - USER_ACTION: user_id=1017, action=LOGOUT_SUCCESS, details={'session_id': 8433}
2026-05-23 12:40:10,242 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 12:40:10,337 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8434}
2026-05-23 12:56:30,645 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 12:56:30,925 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8435}
2026-05-23 12:58:35,931 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 12:58:36,176 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8436}
2026-05-23 13:47:10,603 - AUDIT - USER_ACTION: user_id=1017, action=LOGOUT, details={'session_id': 8436, 'duration_minutes': 48}
2026-05-23 13:47:10,605 - AUDIT - USER_ACTION: user_id=1017, action=LOGOUT_SUCCESS, details={'session_id': 8436}
2026-05-23 13:47:26,607 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 13:47:26,695 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8437}
2026-05-23 14:11:11,583 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 14:11:11,733 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8438}
2026-05-23 14:43:14,812 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 14:43:15,137 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8439}
2026-05-23 16:29:11,229 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 16:29:12,193 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8440}
2026-05-23 22:19:43,526 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 22:19:43,913 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8441}
2026-05-23 22:38:21,623 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 22:38:21,725 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8442}
2026-05-23 22:58:09,248 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 22:58:10,392 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8443}
2026-05-23 23:30:20,432 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 23:30:20,592 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8444}
2026-05-23 23:46:05,812 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-23 23:46:06,345 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8445}
2026-05-24 00:17:33,649 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-24 00:17:34,635 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8446}
2026-05-24 00:26:58,525 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-24 00:26:58,743 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8447}
2026-05-24 00:39:11,152 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-24 00:39:11,720 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8448}
2026-05-24 00:46:05,496 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-24 00:46:05,744 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8449}
2026-05-24 01:00:35,612 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-24 01:00:36,662 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8450}
2026-05-24 01:06:32,422 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-24 01:06:32,654 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8451}
2026-05-24 01:30:24,320 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-24 01:30:25,304 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8452}
2026-05-24 11:34:06,319 - AUDIT - SECURITY: event=LOGIN_SUCCESS, user_id=1017, details={'username': 'mazen'}
2026-05-24 11:34:06,583 - AUDIT - USER_ACTION: user_id=1017, action=SESSION_CREATED, details={'session_id': 8453}
