line_id,jv_id,account_number,auxiliary_id,debit,credit
1,1,6011,6011.000001,18.00,0.00
2,1,5314,5314.000001,0.00,18.00
3,2,4111,4111.000003,10.00,0.00
4,2,7011,7011.0000,0.00,10.00
5,2,5300,5300.0000,10.00,0.00
6,2,4111,4111.000003,0.00,10.00
1002,1005,5300,5300.000001,3.00,0.00
1003,1005,7011,7011,0.00,3.00
1004,1006,6011,6011.000001,18.00,0.00
1005,1006,5314,5314.000001,0.00,18.00
1006,1007,5300,5300.000001,10.00,0.00
1007,1007,7011,7011,0.00,10.00
2002,2002,5300,5300.000001,2.00,0.00
2003,2002,7011,7011,0.00,2.00
2004,2003,5300,5300.000001,350.00,0.00
2005,2003,7011,7011,0.00,350.00
2006,2004,6011,6011.000001,280.00,0.00
2007,2004,5314,5314.000001,0.00,280.00
2008,2005,4111,4111.000003,350.00,0.00
2009,2005,7011,7011.000001,0.00,350.00
2010,2005,5300,5300.000001,350.00,0.00
2011,2005,4111,4111.000003,0.00,350.00
2012,2006,6011,6011.000001,10.00,0.00
2013,2006,4011,4011.000004,0.00,10.00
2014,2006,4011,4011.000004,10.00,0.00
2015,2006,5314,5314.000001,0.00,10.00
2016,2007,4111,4111.000003,300.00,0.00
2017,2007,7011,7011.000001,0.00,300.00
2018,2007,5300,5300.000001,300.00,0.00
2019,2007,4111,4111.000003,0.00,300.00
2020,2008,4111,4111.000003,400.00,0.00
2021,2008,7011,7011.000001,0.00,400.00
2022,2008,5300,5300.000001,400.00,0.00
2023,2008,4111,4111.000003,0.00,400.00
2024,2009,4111,4111.000003,350.00,0.00
2025,2009,70112,70112,0.00,350.00
2026,2009,44270,44270.000003,0.00,0.00
2027,2010,5300,5300.000001,350.00,0.00
2028,2010,4111,4111.000003,0.00,350.00
2029,2011,4111,4111.000003,333.00,0.00
2030,2011,70111,70111,0.00,300.00
2031,2011,44270,44270.000003,0.00,33.00
2032,2012,5300,5300.000001,333.00,0.00
2033,2012,4111,4111.000003,0.00,333.00
2034,2565,0ZviS1VMqcpF5gaeCUmKYlj7ZxZQ0Aj95usphfuJxc3oWSg1mx,ChsN6DlkrWSRlZPdRj39bwAqewpFLQjb8DHYEZsdJypjsbthr9,772.79,76.76
2035,2275,FESru5F1CyRGhn55vCrEWMR3NvIvVWfLxs0wIdECAjMQNCr2fq,Hc30BsNOMorcpYzjz1cOyuTzf1FKrmgBJg4PbU723BtLivKMia,695.72,853.09
2036,2552,NAk42UuGHq2qWCaq8SbchRMRm2u1iWU324ZWHGyvFMgnrDXcFF,5EqbdVR2LpKCCczW9QejxouPCygC3Viz5dW4YHili8qJU5RMWk,280.97,849.18
2037,2427,EmpqQ5zeEUpc8RaC00ueGUV5tIU1LFh81gQPEfzLByS7Pqjner,HMflvjLjcJz271kRLbHZk3mllQ61SEk6X5GGQpL0v1AUXJ5QA5,638.69,380.09
2038,2432,tC1E6nqhmcWg6ygQL1ZXmvuvKOAz4WUgEa1gIKH4DvRVUZHfSe,fNNlA2lwPbITNFntxpdpBNtoRiEcQ1mc1jmWYWpsXBIriLHjfZ,649.60,523.44
2039,2364,BxR6XtkRb0o5YzSDOMdLvHvK8hzeq1NXIOtTv2UAVQSsV0vc3T,mjGNTDuBz2t4CyXJfl7f2qYwMUabaR7dAkWUFrhthFKa9siOdS,739.57,451.81
2040,2844,KTlmMVkOuTJg8usLtXUzD5tEKcmQ7LydgQXGBGRAc6hvwAVlO0,mLLl5MACKGVqaWzkOy9T6brDq5aTrpFMCDkjsBiHb7fj1yCDb5,918.44,125.14
2041,2027,9hyN080S5eqr3HkPzPkZ8rvU1016Fa2yzACKmI30ixC1UgaUXm,iwkKXXmQlYJdlrWjKQnPwXZiVvjdDxNyrJuAPgH6Gu6ac7x3tz,201.15,38.21
2042,2923,vM2pHUdC4aygMduq10vTvOx9ZkqGSGM3goWCu55NIOEa7a0rfU,tRcQEg9RiZOzFwhLaObfNu5AlO2S35xSv85DgxDS8OufhBiUqV,999.60,352.70
2043,2535,rsMkBIphN1RMpYyXueKbumQxgrQLflDpszJdSA3vMq9z0Ki9z3,x7WETBMbJkDYKpkuDnhhdcNKu10Vh0mJ0rQ7wTT9yv1JHwSOab,812.64,329.45
2044,2290,LgYNNtcoXM65LyKj8w5PkPGV8gnDxumgW2zHhspfJqVjvMZH5Q,ZSX6pBEqIsCGpuZvEzjWuXEUbM63em3AvFaSuLJvTB0MCqWGan,704.27,579.82
2045,2279,oof35lfStByJi9dPqOsubfwA5HggeoieEhQDyYBLEkd3mAuRGM,Bgy38e8QHw7DffXwLaVavMcqwUtBnhr4SRQPziPl9nEkqK10vi,292.60,212.57
2046,2866,ovrk7xhjYtuOYRXuLlsRYEk9QMBXwMTTHirCYONNyl4xb3pXPz,dk8mOH0aDTyjrP8nyy0PaDjnULn6JLh6zimsdsXvo0H4q2hXDO,352.47,784.91
2047,2809,R3Z0b1vZpR1Ng0aOjqCyI2ZCCAOU9I0TxLQL4FmJjCsR5kPCn2,Uo3fnW52UgYqlt9PwrwRv6xUW37Nl4aOSFS8gW3XJkSBP8bJsZ,83.81,928.60
2048,2863,MWkq4itSnRdDRvBYgMsMxgoDgvFCxYlwzr79KNt86nsWEaLVim,3en9AgoA4iWJqADSOZMfWeeGiLeqWN61ulPV7yu2z4IifU97QM,702.85,534.31
2049,2101,USLA0TbeKCXxomNH8gguxzrSlE97Iqr9fZjmnImOA8fgYXduII,H8e0sM6Kdwmn1XdNFhiMPWjimqJ9WTUaB1CbWJFzhwG1BMXT52,478.63,936.57
2050,2151,1ObFEtRAcEczvyFt2fPeyrjGUsLsECGK8izuLcABRVnalQYgEN,hg306mXscJoYf4H62wlziblotqQfWfTdYPfiWeZ2QMEsAfnu2r,954.03,363.71
2051,2840,R00k95mbTWf7cDmtM4zwPUPp7nky3yMMa4robPLKwzfUTr6iKc,Ud1CbUXENpVo2Ayr7GV4ZqS6EFzHKlHzZffOUaTGwkzIjMgMCu,618.66,328.00
2052,2740,YvPHOGsq8AjzGEMEBKkXW16dxmLCjkJxtN5EWDJjX2RXhmGuau,VjvQLKPt1c18oZFwpeuFxrrWUz3YluxNqyDk1u8b5ELLVXfOIy,148.44,584.35
2053,2750,QiAugYTudPYHYTs8YalnhlYhKCjAIaPBkOvCyt2E8McShfGpKS,BVw6aQZTfiivDrIo1YxsesMcJOwT99wXsSR5b8vI5TEY6EfPcQ,968.93,281.11
2054,3012,Dg70LwZMleIf253mIMVbSIOkjxdg5f0kedWRj4Ks595Cpkq8ga,LIuggFpbHGwT1whZnQbkq4JmuFlXqcFqxsRycRHl6FmlyAEhLL,410.31,827.76
2055,2597,HZwjZ7ZxAV23qB4sMXy6G0flYCEK2SWCvTamX9tJXvFDqasRlV,8JNTMLDmHwMSJCquQZeJR3SgmrsVoVFmrQGNyZSgZxzpPS8r11,623.96,589.91
